U;ТП;Sтр-р;Тип;Nтр
6;4100;400;ТМ;Т  
6;4101;180;ТМ;Т  
6;4102;630;ТМ;Т-1  
6;4102;630;ТМ;Т-2 
6;4103;400;ТМ;Т  
6;4104;63;ТМ;Т 
6;4105;400;ТМ;Т-1  
6;4105;400;ТМ;Т-2  
6;4106;400;ТМ;Т-1  
6;4106;315;ТМ;Т-2  
6;4107;630;ТМ;Т-1  
6;4107;630;ТМ;Т-2  
6;4108;160;ТМ;Т-1  
6;4108;180;ТМ;Т-2  
6;4109;400;ТМ;Т-1  
6;4109;250;ТМ;Т-2 
6;4110;630;ТМ;Т-1  
6;4110;630;ТМ;Т-2  
6;4112;400;ТМ;Т-1  
6;4112;400;ТМ;Т-2 
6;4113;200;ТМ;Т  
6;4114;400;ТМ;Т-1  
6;4114;400;ТМ;Т-2  
6;4115;250;ТМ;Т  
6;4116;400;ТМ;Т-1  
6;4116;250;ТМ;Т-2  
6;4118;400;ТМ;Т-1  
6;4118;400;ТМ;Т-2 
6;4120;400;ТМ;Т 
6;4121;100;ТМ;Т  
6;4122;630;ТМ;Т-1  
6;4122;630;ТМ;Т-2  
6;4123;400;ТМГ;Т-1  
6;4123;400;ТМГ;Т-2  
6;4124;630;ТМГ;Т-1  
6;4124;630;ТМГ;Т-2  
6;4126;160;ТМГ;Т     
6;4129;630;ТМГ;Т-1  
6;4129;630;ТМГ;Т-2  
6;4133;400;ТМГ;Т  
6;4136;16;ТМГ;Т     
6;4139;250;ТМГ;Т-1 
6;4139;250;ТМГ;Т-2 
6;4140;1000;ТМГ;Т
6;4141;250;ТМГ;Т     
6;4142;1000;ТМГ;Т-1  
6;4142;1000;ТМГ;Т-2  
6;4143;630;ТМ;Т 
6;4144;1000;ТМГ;Т-1  
6;4144;1000;ТМГ;Т-2  
6;4145;1000;ТМГ;Т-1  
6;4145;1000;ТМГ;Т-2  
6;4146;400;ТМГ;Т
6;4147;630;ТМГ;Т
6;4150;400;ТМГ;Т  
6;4153;1000;ТМГ;Т-1  
6;4153;1000;ТМГ;Т-2  
6;4154;1000;ТМГ;Т-1 
6;4154;1000;ТМГ;Т-2  
6;4156;630;ТМГ;Т-1  
6;4156;630;ТМГ;Т-2  
6;4157;160;ТМГ;Т
6;4158;250;ТМГ;Т
6;4159;63;ТМГ;Т
6;4160;250;ТМГ;Т
6;4161;250;ТМГ;Т
6;4162;400;ТМГ;Т
6;4163;160;ТМГ;Т
6;4164;250;ТМГ;Т
6;4165;250;ТМГ;Т
6;4166;250;ТМГ;Т
6;4167;100;ТМГ;Т
6;4168;630;ТМГ;Т-1  
6;4168;630;ТМГ;Т-2  
6;4169;250;ТМГ;Т
6;4171;160;ТМГ;Т
6;4172;100;ТМГ;Т
6;4173;630;ТМГ;Т-1
6;4173;630;ТМГ;Т-2
6;4174;630;ТМГ;Т-1
6;4174;630;ТМГ;Т-2
6;4175;250;ТМГ;Т
6;4176;160;ТМГ;Т
6;4177;250;ТМГ;Т
6;4178;160;ТМГ;Т
6;4179;63;ТМГ;Т
6;4180;400;ТМГ;Т
6;4182;160;ТМГ;Т
6;4187;630;ТМГ;Т-1
6;4187;630;ТМГ;Т-2
6;4190;100;ТМГ;Т
6;4191;63;ТМГ;Т
6;4200;250;ТМГ;Т
6;4201;600;ТМГ;Т
6;4202;400;ТМГ; Т
6;4203;400;ТМГ;Т
6;4204;600;ТМГ;Т
6;4205;100;ТМГ;Т
6;4206;400;ТМГ;Т
6;4207;100;ТМГ;Т
6;4208;100;ТМГ;Т
6;4209;400;ТМГ;Т
6;4210;100;ТМ;Т
6;4211;400;ТМГ;Т
6;4212;250;ТМГ;Т
6;4213;400;ТМГ;Т
6;4214;250;ТМГ;Т
6;4215;250;ТМГ;Т
6;4216;400;ТМГ;Т
6;4217;100;ТМГ;Т
6;4218;160;ТМГ;Т
6;4219;400;ТМГ;Т
6;4220;20;ТМ;Т
6;4221;630;ТМГ;Т
6;4222;180;ТМГ;Т
6;4223;400;ТМГ;Т
6;224;250;ТМГ;Т
6;225;100;ТМ;Т
6;4226;250;ТМГ;Т
6;4228;100;ТМГ;Т
6;4229;250;ТМГ;Т
6;230;40;ТМ;Т
6;231;250;ТМ;Т
6;4232;160;ТМГ;Т
6;4234;400;ТМГ;Т
6;4235;400;ТМГ;Т
6;236;400;ТМГ;Т-1     
6;236;400;ТМГ;Т-2     
6;237;160;ТМГ;Т     
6;4238;400;ТМГ;Т     
6;4239;320;ТМГ;Т     
6;4240;630;ТМГ;Т
6;4242;180;ТМГ;Т     
6;4243;100;ТМГ;Т     
6;4244;400;ТМГ;Т     
6;4245;100;ТМГ;Т     
6;4246;100;ТМГ;Т     
6;4247;400;ТМГ;Т     
6;4248;180;ТМГ;Т     
6;4249;160;ТМГ;Т     
6;4250;250;ТМГ;Т     
6;4251;250;ТМГ;Т     
6;4252;160;ТМГ;Т     
6;4253;160;ТМГ;Т     
6;4254;160;ТМГ;Т     
6;4255;100;ТМГ;Т
6;4256;180;ТМГ;Т     
6;4257;100;ТМГ;Т     
6;4260;250;ТМГ;Т     
6;4261;400;ТМГ;Т     
6;4262;630;ТМГ;Т     
6;4263;400;ТМГ;Т     
6;4264;250;ТМГ;Т     
6;4266;40;ТМГ;Т     
6;4268;160;ТМГ;Т     
6;4269;250;ТМГ;Т     
6;4270;100;ТМГ;Т     
6;271;400;ТМ;Т     
6;4272;63;ТМГ;Т     
6;4273;180;ТМГ;Т     
6;4274;250;ТМГ;Т     
6;4275;100;ТМГ;Т     
6;4276;180;ТМГ;Т     
6;4277;630;ТМГ;Т     
6;4278;63;ТМГ;Т     
6;4279;250;ТМГ;Т     
6;4280;100;ТМГ;Т     
6;4281;100;ТМГ;Т     
6;4282;400;ТМГ;Т     
6;4283;400;ТМГ;Т     
6;4284;250;ТМГ;Т     
6;4285;250;ТМГ;Т     
6;4289;250;ТМГ;Т     
6;4290;100;ТМГ;Т     
6;4291;250;ТМГ;Т     
6;4292;100;ТМГ;Т     
6;4293;400;ТМГ;Т     
6;4294;100;ТМГ;Т     
6;4295;100;ТМГ;Т
6;4296;250;ТМГ;Т     
6;4298;250;ТМГ;Т     
6;4301;320;ТМГ;Т 
6;4302;400;ТМГ;Т 
6;4303;400;ТМГ;Т 
6;4304;400;ТМГ;Т 
6;4305;630;ТМГ;Т 
6;4306;400;ТМГ;Т 
6;4307;400;ТМГ;Т 
6;4308;630;ТМГ;Т-1 
6;4308;630;ТМГ;Т-2 
6;4309;160;ТМГ;Т-1 
6;4309;160;ТМГ;Т-2 
6;4310;630;ТМГ;Т-1 
6;4310;630;ТМГ;Т-2 
6;4311;630;ТМГ;Т-1 
6;4311;630;ТМГ;Т-2 
6;4312;160;ТМГ;Т-1 
6;4312;160;ТМГ;Т-2 
6;313;400;ТМГ;Т-1 
6;313;320;ТМГ;Т-2 
6;4314;400;ТМГ;Т-1 
6;4314;400;ТМГ;Т-2 
6;315;630;ТМГ;Т-1 
6;315;630;ТМГ;Т-2 
